data_arquivamento,acessibilidade,impacto_ambiental,nome,democratizacao,justificativa,mecanismo,resumo,sinopse,especificacao_tecnica,data_inicio,objetivos,ficha_tecnica,etapa,data_aceite,id,estrategia_execucao,data_termino
,"Sendo a realizção do festival em praças públicas, as mesmas já prevêm as rampas de acesso aos Portadores de Necessidades Especiais. Os banheiros públicos terão os próprios aos Portadores de Necessida","","Festival NPDL - Na Ponta Da Língua, artes dos povos que falam português
edião 2009 - Minas Gerais e Brasília - DF","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Style Definitions */ p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-parent:; margin:0cm; margin-bottom","Normal 0 21 false false false MicrosoftInternetExplorer4 <span class=mceItemObject classid=clsid:38481807-CA0E-42D2-BF39-B33AF135CC4D id=ieooui> st1\:*{behavior:url(#ieooui)","Mecenato","O NPDL é a realização de festival composto de várias atividades com a pretensão de apresentar programação artística variada além da transcendência sociocultural e interação entre os países de língua portuguesa (Brasil, Angola, Cabo Verde, Guiné-Bissau, Moçambique, Portugal, São Tomé e Príncipe e Timor Leste), bem como das demais comunidades lusófonas espalhadas pelo mundo.","","","2009-05-01","Normal 0 21 false false false MicrosoftInternetExplorer4 <!-- /* Style Definitions */ p.MsoNormal, li.MsoNormal, div.MsoNormal {mso-style-parent:; margin:0cm; margin-bottom","","Normal 0 21 false false false MicrosoftInternetExplorer4 <span class=mceItemObject classid=clsid:38481807-CA0E-42D2-BF39-B33AF135CC4D id=ieooui> st1\:*{behavior:url(#ieooui)",,43,"","2009-12-30"
,"Tendo em vista a acessibidade e melhor fruição dos segmentos de públicos e grupos (escolares e público geral) ao espetáculo, espaços espefícios serão reservados na pláteia, identificando as preferênci","","PARIS, A CAPITAL DAS ARTES","Tendo em vista a democratização do acesso do espetáculo ao público, informamos que quatro grupos escolares (dois municipais e dois estaduais) de teatro e dança que comprovarem desenvolvimento de proje","A França é um dos países mais antigos do mundo e cuja história confunde-se com a própria história do mundo. Desde a Revolução Francesa (XVIII) tornou-se exemplo de democracia para o mundo inteiro. Apó","Mecenato","MONTAGEM E APRESENTAÇÃO DO ESPETÁCULO DE DANÇA PARIS, A CAPITAL DAS ARTES PARA UM PÚBLICO DE ATÉ 2000 PESSOAS EM PORTO ALEGRE, NA DATA DE 25 DE ABRIL DE 2010. A CONCEPÇÃO ARTÍSTICA DO ESPETÁCULO TEM INSPIRAÇÃO NA EXPRESSÃO DA REVOLUÇÃO FRANCESA: LIBERDADE, IGUALDADE E FRATERNIDADE. CADA UMA DESTAS PALAVRAS SERÁ O FIO CONDUTOR DE 3 HISTÓRIAS. CADA HISTÓRIA TERÁ UMA COR PREDOMINANTE REPRESENTANDO O ESTADO DE ESPÍRITO DOS PERSONAGENS.","","","2009-11-01","Objetivo Geral Projeto que visa à montagem e exibição do espetáculo cênico PARIS, A CAPITAL DAS ARTES, inspirado na expressão da revolução francesa: Liberdade, Igualdade e Fraternidade, para um públ","","Fase 1 . PRÉ-PRODUÇÃO 1º de novembro a 1º dezembro de 2009 Criação do roteiro, leitura e revisão. Reuniões com diretores para a definição da concepção visual do espetáculo, trilha sonora, gravação das",,44,"","2010-05-30"
,"","","DIA DA MULHER AFICANA E AFRO-CARIBENHA","Os encontros serão em auditórios de fácil acesso e serão sempre reservados 10% na lotação do mesmo para pessoas portador de deficiências","As mulheres mostram que constituem uma força positiva muitas vezes ignorada. Ações ainda são possíveis para que as potencialidades das mulheres africanas, incluso as da diáspora sejam potencializadas","Mecenato","Nosso principal objetivo e instituir no dia da mulher africana e afro-caribenha em um grande encontro de artes em geral (teatro, musica, dança, exposições, literatura, etc...). Como também um ciclo de palestras voltado ao publico sobre a mulher africana nos dias de hoje.","","","2009-05-01","Nosso principal objetivo e instituir no dia da mulher africana  e afro-caribenha em um grande encontro de artes em geral (teatro, musica, dança, exposições, literatura, etc...). Como também um cicl","","1ª FASE   Pré-Produção do Projeto Inscrever na Lei Rouanet Início da Capitação de Recursos   2ª FASE   Início da Produção Contratações das Equipes Artísticas (atrações) e Técnica Criação material",,45,"","2009-07-31"
,"teste","","teste","teste","teste","Mecenato","teste","","","2009-10-10","teste","","teste",,46,"","2009-10-10"
,"“CAMINHOS DO CORDEL   - Escolher, para a realização da exposição e oficinas, espaço onde haja rampas de acesso, para cadeirantes, e disponibilizar pessoas preparadas para orientar pess","","CAMINHOS DO CORDEL - A presença francesa no cordel brasileiro.","- Para professores da rede pública haverá seminários e estes serão disponibilizados em DVD; - As atividades serão de acesso à todos, nas oficinas os profissionais ensinarão processos de xilogravuras","“Traga a França para os meus versos e leve meus versos para a França.” Estes versos foram improvisados por um poeta de cordel como saudação dirigida ao professor Raymond Cantel, durante uma das viage","Mecenato","Realização do SESC em parceria com Fonds Raymond Cantel (França), com expografia de Clóvis Arruda e trilha sonora de Patrícia Palumbo (Rádio Eldorado). Itinerante por 06 cidades, esta mostra é composta por exposição, oficinas, encontros, música, mostras de filmes, publicações, dança e manifestações relacionadas à Literatura de Cordel. Interativa e lúdica contará com apoio educacional e capacitação de educadores e monitores com agendamentos especiais para escolas.","","","2009-04-25","A exposição “CAMINHOS DO CORDEL - A presença francesa no Cordel brasileiro” integra os eventos comemorativos do Ano França Brasil.   Principais objetivos:   1.    A convite dos comissariados franc","","1 - A convite dos comissariados francês e brasileiro, integrar a literatura de Cordel ao Ano França Brasil. 2.    Fomentar e difundir a importância do Cordel na cultura brasileira. 3.    Sensibiliza",,47,"","2009-12-15"
,"Escolher, para a realização da exposição e oficinas, espaço onde haja rampas de acesso, para cadeirantes, e disponibilizar pessoas preparadas para orientar pessoas com outros tipos de deficiência","","CAMINHOS DO CORDEL - A presença francesa no Cordel brasileiro","- Para os professores da rede pública haverão seminários e estes serão disponibilizados em DVD; - As atividades serão de acesso à todos sem discriminação.","“Traga a França para os meus versos e leve meus versos para a França.” Estes versos foram improvisados por um poeta de cordel como saudação dirigida ao professor Raymond Cantel, durante uma das viage","Mecenato","Realização do SESC em parceria com Fonds Raymond Cantel (França), com expografia de Clóvis Arruda e trilha sonora de Patrícia Palumbo (Rádio Eldorado). Itinerante por 06 cidades, esta mostra é composta por exposição, oficinas, encontros, música, mostras de filmes, publicações, dança e manifestações relacionadas à Literatura de Cordel. Interativa e lúdica contará com apoio educacional e capacitação de educadores e monitores com agendamentos especiais para escolas.","","","2009-04-25","A exposição “CAMINHOS DO CORDEL - A presença francesa no Cordel brasileiro” integra os eventos comemorativos do Ano França Brasil.   Principais objetivos:   1.    A convite dos comissariados franc","","1 - A convite dos comissariados francês e brasileiro, integrar a literatura de Cordel ao Ano França Brasil. 2.    Fomentar e difundir a importância do Cordel na cultura brasileira. 3.    Sensibiliza",,48,"","2009-12-15"
,"ajlsnm.lsxkmjmçpçlalçççp´kcl.sçlkcfm,,mszkjmnmc,xmnv nxmcjncnmlxkxnbdjjd","","Forró da DIAP","shnksnxcm,lsxkmsallsç;çsç.sxmmsxdjmkszkl","djçlzmk,kççcjmm.lclldcmmlskkm,xdjlç.sk,mcv","Mecenato","hfhjdjdlaoaljlaleikekfrpoitjmklsdlpsdos","","","2009-09-21","jlajhkidejlsçklked,,zmj,l.apçsmjjmckkkiujhsklçlkck,..çxdjl,l,~xkjkxz","","alsmjmx,kmvflç~s~´~]slkkm,demfbnhk,smkmfvnbjmxmvknxc",,49,"","2009-12-31"
,"A Maitri ao longo de anos de produção cultural, tem se preocupado com a maximização da abrangência dos projeto por ela desenvolvidos, seja para os amantes das artes e também para aqueles cuja arte pos","","Resta Pouco a Dizer - Peças Curtas de Samuel Beckett","Com uma política de democratização cultural, a Maitri visa permitir através de atividades de caráter social, a expansão do raio de alcance dos projetos culturais desenvolvidos. Realizamos ao longo de","O projeto Resta Pouco a Dizer apresentará obras de Samuel Beckett, cuja trilogia foi iniciada pelos Irmãos Guimarães em 1998. Através de uma série de ações que reúnem parte desse trabalho e são enriqu","Mecenato","O projeto Resta Pouco A Dizer traz uma abordagem especial da obra de Samuel Beckett por diversas linguagens, propostas a partir das leituras que têm sido empreendidas pelos diretores Fernando e Adriano Guimarães nos últimos dez anos.","","","2009-05-10","O projeto pretende realizar entre as cidades de Brasília, São Paulo e Curitiba, 24 (vinte e quatro) apresentações do projeto. Objetivamos proporcionar ao público, profissionais da arte dramática e est","","As etapas inerentes a realização do projeto, ou seja, planejamento, execução, divulgação e conclusão do projeto são resumidas da forma que segue abaixo:   1. Pré-Produção / Preparação <!-- /* Font D",,50,"","2010-04-01"
,"O espaço escolhido para as apresentações, Teatro FAAP, é dotado de acessos especiais para idosos e pessoas com mobilidade reduzida, além disso, a produção juntamente com o teatro, disponibilizar profi","","Acidentes (Título Provisório)","O Teatro FAAP esta localizado na região do Pacaembu, fartamente servida por meios de transporte público.   Serão doados 10% (dez por cento) do número total de ingressos disponíveis, à escolas públic","Neil Labute é nos dias de hoje um dos mais brilhantes e polêmicos autores de teatro, colocando constantemente em cena – com maestria, poesia e irreverência – assuntos pertinentes aos nossos dias, em p","Mecenato","O projeto visa à montagem e manutenção de temporada do espetáculo teatral “ACIDENTES” (título Provisório). Este monólogo surpreendente é uma adaptação da obra Wrecks de NEIL LABUTE, interpretada por Antonio Fagundes. O espetáculo ficará em cartaz por cinco meses no Teatro Faap na cidade de São Paulo. A Estréia esta prevista para a primeira quinzena do mês de Agosto 2009.","","","2009-04-05","O projeto visa à montagem e manutenção de temporada do espetáculo teatral “ACIDENTES” (título Provisório). Este monólogo surpreendente é uma adaptação da obra Wrecks de NEIL LABUTE, interpretada por A","","Pré-produção   Etapa 1 e 2  realizada com recursos próprios, não constando no orçamento do projeto. O período de execução é anterior ao prazo de 90 dias exigido pelo MINC.   Etapa 1 – dezembro de",,51,"","2010-02-28"
"2010-06-08","Todos os três espaços possiveis para receber o evento ( TEATRO COLISEU -SANTOS, CENTRO DE CONVIVENCIA CARLOS GOMES- CAMPINAS , TEATRO MUNICIPAL DE RIBEIRÃO PRETO ) foram vistoriados e estão preparados","","2º PREMIO I SOLISTI","Para tomar parte como candidato, será cobrada uma taxa simbólica de inscrição. Temos que ter um modo de controlar as inscrições ou qualquer pessoa, mesmo sem as qualificações necessarias, começam a se","Os investimentos nas artes eruditas (Música Instrumental Erudita, Canto Lírico e Ballet Clássico) ainda são muito tímidos, se compararmos com outros Países mais desenvolvidos. Todas as iniciativas nes","Mecenato","Realizar, pela segunda vez, em uma cidade do Estado de São Paulo, um concurso para premiação de três jovens talentos ( até 25 anos) nas categorias de MUSICA INSTRUMENTAL ERUDITA, CANTO LÍRICO E BALLET CLASSICO. As cidades candidatas sao: Santos ( Teatro Coliseu - sede da primeira edição 2008), Campinas e Ribeirão Preto. O Período será entre outubro e novembro de 2009.","","","2009-10-09","objetivo Geral Premiar jovens talentos da Musica Instrumental Erudita, Canto Lírico e Ballet Clássico, tornando-os conhecidos para agentes e assim possam ser absorvidos pelo mercado, além de mostrá-lo","","- Abril/maio - Captação de recursos Pré-produção Maio/Junho - Contratar assessoria Jurídica - contratar assessoria Contábil - realizar os procedimentos necessários à abertura de conta e movimentaç",,52,"","2009-10-13"
,"SHOWS:  1.600 ingressos serão distribuídos gratuitamente a instituição Lar dos Velhinhos situada na 603 norte (Brasília) que se destina a cuidar de menores epessoas idosas que não possuem família","","As Populares Estações do Ano - Instrumental","SHOWS:  1.600 ingressos serão distribuídos gratuitamente a instituição Lar dos Velhinhos situada na 603 norte (Brasília) que se destina a cuidar de menores epessoas idosas que não possuem família Lemb","A maior justificativa do projeto é a necessidade de estimular o gosto do público pela música instrumental. Isto o projeto faz muito bem, incentivando o envolvimento da população da cidade de Brasília","Mecenato","Promover a música instrumental brasileira através da realização de uma série de oficinas que ocorrerão ao longo de cada estação do ano na cidade de Brasília. Ao todo serão quatro oficinas técnicas de música instrumental (uma por estação). Serão experienciados pelos alunos diversos ritmos tipicamente brasileiros. Ao final de cada oficina ocorrerá um show completo com apresentação instrumental.","","","2009-07-09","Promover a música instrumental brasileira através da realização de uma série de oficinas que ocorrerão ao longo de cada estação do ano na cidade de Brasília. Ao todo serão quatro oficinas técnicas de","","1.Pré-produção: 1.1. Dezembro de 2008: Elaboração do projeto para 2009. 1.2. Janeiro de 2008: Formatação e inscrição do projeto na Lei Federal de Incentivo à Cultura. 1.3. Março de 2009: Aprovação do",,53,"","2010-07-09"
,"O espaço escolhido para as apresentações, Teatro FAAP, é dotado de acessos especiais para idosos e pessoas com mobilidade reduzida, além disso, a produção juntamente com o teatro, disponibilizar profi","","Acidentes (título provisório)","O Teatro FAAP esta localizado na região do Pacaembu, fartamente servida por meios de transporte público.   Serão doados 10% (dez por cento) do número total de ingressos disponíveis, à escolas públic","Neil Labute é nos dias de hoje um dos mais brilhantes e polêmicos autores de teatro, colocando constantemente em cena – com maestria, poesia e irreverência – assuntos pertinentes aos nossos dias, em p","Mecenato","O projeto visa à montagem e manutenção de temporada do espetáculo teatral “ACIDENTES” (título Provisório). Este monólogo surpreendente é uma adaptação da obra Wrecks de NEIL LABUTE, interpretada por Antonio Fagundes. O espetáculo ficará em cartaz por cinco meses no Teatro Faap na cidade de São Paulo. A Estréia esta prevista para a primeira quinzena do mês de Agosto 2009.","","","2009-04-05","O projeto visa à montagem e manutenção de temporada do espetáculo teatral “ACIDENTES” (título Provisório). Este monólogo surpreendente é uma adaptação da obra Wrecks de NEIL LABUTE, interpretada por A","","Pré-produção   Etapa 1 e 2  realizada com recursos próprios, não constando no orçamento do projeto. O período de execução é anterior ao prazo de 90 dias exigido pelo MINC.   Etapa 1 – dezembro",,54,"","2010-02-28"
,"A exposição será exibida na Biblioteca Pública Estadual Luiz de Bessa, em Beloo Horizonte, cujas instalações estão adequadamente preparadas para receber portadores de necessidades especiais, inclusive","","BORGES, imagens e manuscritos","O público atingido pelo projeto será composto por pessoas de todas as classes sociais, já que não serão cobrados ingressos para a visitação à exposição e às atividades paralelas. Quanto à idade, prevê","Universalmente aclamado como um mestre maior da literatura no século XX, Jorge Luis Borges (Buenos Aires, 24 de agosto de 1899 | Genebra, 14 de junho de 1986) nos deixou uma Obra multifacetada, perfei","Mecenato","O presente projeto tem por objetivo produzir uma exposição na cidade de Belo Horizonte acerca da obra do escritor argentino Jorge Luis Borges, um dos maiores ícones da literatura mundial. A mostra contará ainda com atividades culturais paralelas como exibição de filmes, palestras, apresentações musicais e teatral, bem como com um concurso de ilustrações sobre a produção literária de Borges, a ser difundido entre alunos do ensino médio e universitário.","","","2009-05-01","O presente projeto tem por objetivo produzir uma exposição na cidade de Belo Horizonte acerca da obra do escritor argentino Jorge Luis Borges, um dos maiores ícones da literatura mundial. A mostra con","","No período de maio/09 a fevereiro/10 serão desenvolvidas as seguintes atividades:   1 – PRÉ- PRODUÇÃO         ·         Pesquisa Literária ·         Pesquisa Iconográfica ·         Consultoria Literá",,55,"","2010-02-28"
,"O teatro escolhido para o projeto deverá ter a estrutura necessária para receber todo tipo de público, inclusive os com dificuldades de acessibilidade, com elevadores e  com rampas de acesso que facil","","WALL TO WALL","Terão direito à meia entrada estudantes, idosos acima de 65 anos, classe artística e quaisquer outras pessoas de acordo com as regras da Lei federal de incentivo à cultura. O valor do ingresso seguirá",".     O projeto promove uma discussão inteligente sobre a produção dramatúrgica contemporânea. O conteúdo e o formato do texto fazem parte de inquietações artísticas muito vivas na atualidade. Quere","Mecenato","Realizar a montagem e a manutenção de 05 (tcinco) meses do espetáculo WALL TO WALL . Wall to Wall é um projeto internacional multimídia e multidisciplinar que investiga uma linha paralela entre as artes visuais e o teatro. Tendo sua primeira estréia, como exibição de artes, no The Higher Institute of Fine Arts HISK Na cidade de Ghent, na Bélgica, em 2008.","","","2009-04-23","Há algumas décadas o conceito de artes cênicas e artes plásticas se ampliam e dialogam com outros setores artísticos. O conceito da performance moderna pauta-se pela conjugação e extrapolação de todas","","ETAPAS ATIVIDADES PERÍODO         Pesquisa de Linguagem     Reuniões com elenco     Reuniões com Figurino Abril de 2009 PRÉ-PRODUÇÃO Reuniões com Cenografia     Reuniões com Il",,56,"","2009-09-27"
,"Para garantir a acessibilidade de portadores de necessidades especiais na 8ª Edição do Festival Vaca Amarela iremos oferecer entrada gratuita, instalação de rampas onde existirem escadas e espaço rese","","8ª Edição do Festival Vaca Amarela - 2009","O evento tem como objetivo atingir 3 mil pessoas ao final da edição de 2009. A intenção é aumentar a gama de classes sociais atingidas pelo festival. Segundo levantamento realizado por estudantes da U","Com uma história já respeitável e um currículo para mostrar, o Festival Vaca Amarela é prova inequívoca de que existe interesse em trabalhos autorais fora do esquema tradicional de divulgação musical","Mecenato","A 8ª Edição do Festival Vaca Amarela - 2009 é um festival multicultural com foco prioritário na música e será realizado em Goiânia (GO), onde 36 artistas %u2013 sendo 18 de Goiânia, dois do interior de Goiás, 14 de outros estados e dois de países latino-americanos %u2013 se apresentarão em estrutura profissional de som e luz. O evento pretende ainda promover o diálogo entre manifestações culturais como artes visuais, audiovisual, música jovem contemporânea, dança, hip hop e cultura popular.","","","2009-09-12","O 8º Festival Vaca Amarela – 2009 tem como objetivo geral e principal fomentar a música independente jovem brasileira, oferecendo espaço para artistas independentes apresentarem seus trabalhos no mesm","","01- Formatação do projeto 02- Entrada com o processo na Lei Rouanet - 1ª quinzena de janeiro 03- Reserva do local - 1ª quinzena de janeiro 04- Seleção dos artistas locais - 1ª quinzena de janeiro 05-",,57,"","2009-09-19"
,"ggghhhtt","","teste","ggt uuuy pp","eee ttt uuu ooo","Mecenato","aaabbbcc","","","2009-05-01","bbbccc fff yyeee","","eee hhh uuu ooo mmm",,58,"","2009-09-30"
,"Os eventos serão realizados em instituições de ensino que por norma da lei já dispõe de estrutura de acessibilidade. No local do evento serão disponibilizadas cadeiras para o público. Área específica","","MÚSICA POPULAR BRASILEIRA PARA ESTUDANTES","Os eventos serão gratuitos e realizados em escolas e universidades, preferencialmente públicas.","As práticas musicais estão presentes no cotidiano de qualquer grupo social, tendo um lugar significativo na construção de suas identidades culturais, artísticas e estéticas. A massificação da música c","Mecenato","O projeto se desenvolve com a seguinte dinâmica:Três diferentes montagens temáticas, sobre MPB, constando de show e palestras. 30 instituições de ensino, entre o fundamental e a faculdade, públicas e privadas, receberão as montagens do projeto. As palestras serão realizadas no palco com a participação do palestrante, do artista e dos músicos e tem como objetivo dar conteúdo e interesse ao público.","","","2009-07-01","OBJETIVO GERAL Realizar 90 eventos, constando de palestras sobre temas da Música Popular Brasileira e shows em escolas e universidades.   OBJETIVO ESPECÍFICO Pretende-se com este projeto contribuir p","","O projeto se desenvolve com a seguinte dinâmica: Três montagens temáticas diferentes constando de show e palestras 1 – A Música Brasileira das Décadas de 50 e 60 2 – A História do Samba 3 -  Grandes N",,59,"","2009-12-30"
"2010-05-26","As oficinas serão realizadas sempre, no andar térreo das edificações do Centro Cultural que contam com portas de largura dupla para seu acesso e rampas nos locais necessários, temos pessoal preparado","","Centro Cultural Pandavas - Oficinas de Música","As oficinas serão gratuitas e abertas aos jovens de ambos os sexos de 7 a 18 anos sem distinção de nível de escolaridade ou situação socioeconômica. A biblioteca,videoteca e sala de acesso a internet","O escritor Monteiro Lobato viveu e criou seus principais personagens no Sítio do Pica Pau Amarelo, localizado no então município de Buquira que foi emancipado e recebeu o nome da sua maior personalida","Mecenato","Obtenção e manutenção de equipamentos, remunerar oficineiros e monitores para o funcionamento do Centro Cultural Pandavas - Oficinas de Música, localizado no Bairro dos Souzas, Município de Monteiro Lobato,SP., nos meses de abril a dezembro de 2009. Atenderá diretamente a mais de 60 jovens aprendizes por ano em suas 4 oficinas de música, além das centenas de usuários para a biblioteca, videoteca, exibições de cinema e museu de História Natural.","","","2009-04-13","Objetivo Geral   Realização e manutenção das oficinas  com o intuito de capacitar mais de 60 jovens aprendizes e atender centenas de usuários na biblioteca, videoteca e visitantes do museu de História","","– O Instituto Pandavas, herdeiro legal da Casa dos Pandavas, unidade da Associação Palas Athena do Brasil no Município de Monteiro Lobato, vem atuando desde 1978 neste local. Nesta transição, manteve",,60,"","2009-12-31"
"2011-02-21","SDKJFLASDJFDFLGVNLFKJGF","","CASA GRANDE","","DSFGJHDFLGUYTGJHGLDKJFGFG","Mecenato","CENTRO CULTURAL","","","2009-05-01","DKSJLDJFGLDHFJ","","",,61,"","2010-04-01"
"2010-05-27","O lançamento do livro será realizado em local a ser determinado, com facilidade de acesso aos portadores de necessidades especiais.","","ARQUITETURA ECLÉTICA NO RIO DE JANEIRO","Além dos 300 livros para o patrocinador e 300 para bibliotecas e museus, 400 exemplares serão distribuídos para escolas, universidades e instituições que trabalham a arte, cultura e arquitetura como i","A história da arquitetura brasileira, até meados dos anos 60, privilegiou a arquitetura colonial, especialmente o barroco dos séculos 17 e 18, e o modernismo, dando espaço pequeno também para o neoclá","Mecenato","Pesquisar a arquitetura eclética - estilo arquitetônico largamento utilizado no Brasil no século XX -, através de suas obras emblemáticas erguidas no Rio de Janeiro, para produzir, editar, publicar e distribuir um livro de arte com texto histórico e crítico, depoimentos, fotos, documentos e plantas arquitetônicas originais.","","","2009-06-01","Objetivo geral: Tornar conhecida a arquitetura eclética – estilo arquitetônico largamente utilizado no Brasil no século XX -, focalizando suas obras mais importantes e representativas no Rio de Janeir","","Pré-produção   1.      Planejamento, metodologia, agendamento e contratação dos profissionais – produtor e idealizador do projeto – 1 mês – junho de 2009 2.      Pesquisa de textos e imagens, incluind",,62,"","2009-12-31"
,"Será permitido um trabalho","","Espaços Liminares (Teatralidade, Performance e Política)","No lançamento dIo livro","O não conhecimento do universo teatral latino-americano e da pesquisa neste campo nos elva a","Mecenato","Será levada a cabo a tradução e publicação do livro original Espacios Liminales:Teatralidad, Performances y Política) de la escritora Ileana Dieguez Caballero. Assim o livro impresso se levará a cabo um lançamento com a escritora, o tradutor e especialistas convidados pesquisadores de teatro e cpirculo academico.","","","2009-05-01","Tradução do livro Espacios Liminales, do espanhol ao português. Fazer lançamento do livro.","","PRE/PRODUÇÃO PRODUÇÃO/EXECUÇÃO IMPOSTOS E RECOLHIMENTOS DIVULGAÇÃO.",,63,"","2009-09-05"
"2014-05-27","Todos os teatros serão questionados a respeito do espaço onde haja rampas de acesso para cadeirantes, e disponibilização depessoas preparadas para orientar pessoas com outros tipos de deficiência. Dev","","C.L.A.M. - CURSO LIVRE DE APRENDIZ DE MARGINAL","Normal 0 21 false false false PT-BR X-NONE X-NONE MicrosoftInternetExplorer4 <w:latentstyles deflockedstate=false defunhidewhenused=true defsemihidden=true defq","Normal 0 21 false false false PT-BR X-NONE X-NONE MicrosoftInternetExplorer4 <w:latentstyles deflockedstate=false defunhidewhenused=true defsemihidden=true defq","Mecenato","O projeto prevê a circulação da peça teatral “C.L.A.M. – Curso Livre de Aprendiz de Marginal” em turnê gratuita por teatros de 10 municípios do Estado do Rio de Janeiro e 5 (cinco) Lonas Culturais da Capital . Trata-se de uma comédia que satiriza a violência urbana e seus reflexos na sociedade.","","","2009-06-15","Normal 0 21 false false false PT-BR X-NONE X-NONE MicrosoftInternetExplorer4 <w:latentstyles deflockedstate=false defunhidewhenused=true defsemihidden=true defq","","Normal 0 21 false false false PT-BR X-NONE X-NONE MicrosoftInternetExplorer4 <w:latentstyles deflockedstate=false defunhidewhenused=true defsemihidden=true defq",,64,"","2009-10-31"
,"Escolheremos teatros com acessibilidade, incluindo espaço reservado para portadores de necessidades especias, bem como idosos. Além disso, enfatizaremos e incentivaremos a ida ao teatro através da dis","","Acima de 40","Realizaremos a democratização de acesso ao bem cultural das seguintes maneiras: 1. Ingressos a preço popular (R$ 30,00 inteira e R$ 15,00 meia); 2. Distribução gratuita de ingressos a entidades filatr","O projeto justifica-se por: 1. Disseminar e fortalecer as danças africana e contemporânea no Brasil e exterior; 2. Permitir com que jovens carentes convivam e aprendam com grandes referências do cenár","Mecenato","O presente projeto consiste na criação e apresentação do espetáculo Acima de 40, um encontro da dança africana e contemporânea, dirigido pelo renomado diretor Marcio Aurélio e coreografado por Suzana Yamauchi. No elenco encontramos nomes de peso do cenário da dança brasileira, como: Rui Moreira, Wilson Aguiar, Irineu Nogueira e Elísio Pitta. O espetáculo contará as histórias, vivências e conflitos vividos pelos bailarinos através de seus corpos, já acima dos temidos 40 anos...","","","2009-10-10","O objetivo do presente projeto é a criação e apresentação do espetáculo de dança Acima de 40, uma fusão da dança africana à contemporânea, da vida e experiência de 05 bailarinos com mais de 40 anos","FICHA TÉCNICA: Direção: Márcio Aurélio Wison Aguiar Irineu Nogueira Bailarino, coreógrafo e produtor artístico, 15 anos de experiência no mercado cultural trabalhando com diretores (José Possi Net","CRONOGRAMA: Pré-produção: Maio de 2009 Captação de Patrocínio, Abertura de Conta Corrente e Contratos com a Equipe Produção: 1. Laboratório, Ensaios e Montagem (5 meses): Junho a Outubro de 2009 Criaç",,65,"","2010-09-30"
"2010-05-27","O lançamento do livro ocorrerá em local de fácil acesso para deficiente, como por exemplo livraria ou centro cultural que possua rampa de acesso ao cadeirante. Serão distribuidos 30 livros para instit","","MADE IN BRAZIL","Os artistas e técnicos envolvidos neste trabalho (equipe técnica) farão workshops, para estudantes da rede pública interessados passando seu conhecimento e esclarecendo questões sobre o mercado de tra","A intenção de Maid in Brazil é prestar uma homenagem ainda pendente às empregadas brasileiras, que muito além de desempenharem funções domésticas, fazem parte das famílias e são entes indispensáveis","Mecenato","Publicação de livro de fotografias de autoria e concepção de Paula Klien que será uma homenagem às Empregadas no Brasil. O livro terá tiragem de 1.000 exemplares e a intenção é doar integralmente o valor das vendas.","","","2009-04-06","Maid in Brazil é muito mais que um trocadilho. O livro de fotografias de autoria e concepção de Paula Klien será uma homenagem às Empregadas no Brasil. A doméstica made in Brazil é única e incom","","PRÉ-PRODUÇÃO  - Março de 2009.   ·     Estruturação da obra ·     Definição de elenco.   PRODUÇÃO  - Abril (primeira quinzena) de 2009.  ·     Contratação de Equipe Técnica ·     Concepção e confecçã",,66,"","2009-06-26"
,"A exposição Borges, imagens e manuscritos será realizada na Biblioteca Pública Estadual Luiz de Bessa, em Belo Horizonte, cujas instalações foram construídas em 2004 dentro de todas as normas exigid","","BORGES, imagens e manuscritos","O público atingido pelo projeto será composto por pessoas de todas as classes sociais, já que não serão cobrados ingressos para a visitação à exposição e às atividades paralelas. Quanto à idade, prevê","Universalmente aclamado como um mestre maior da literatura no século XX, Jorge Luis Borges (Buenos Aires, 24 de agosto de 1899 | Genebra, 14 de junho de 1986) nos deixou uma Obra multifacetada, perfei","Mecenato","O presente projeto tem por objetivo produzir uma exposição na cidade de Belo Horizonte acerca da obra do escritor argentino Jorge Luis Borges, um dos maiores ícones da literatura mundial. A mostra contará ainda com atividades culturais paralelas como exibição de filmes, palestras, apresentações musicais e teatral, bem como com um concurso de ilustrações sobre a produção literária de Borges, a ser difundido entre alunos do ensino médio e universitário.","","","2009-05-01","O presente projeto tem por objetivo produzir uma exposição na cidade de Belo Horizonte acerca da obra do escritor argentino Jorge Luis Borges, um dos maiores ícones da literatura mundial. A mostra con","","O presente projeto irá se desenvolver no período de maio/2009 a fevereiro/2010 de acordo com a execução dos seguintes serviços:   1 – PRÉ- PRODUÇÃO    (maio/2009 a junho/2009)     ·         Pesquis",,67,"","2010-02-28"
